date,mode,equity,day_pl,drawdown
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,99999.65,0.0,0.0
2026-06-19,PAPER,99999.65,0.0,0.0
2026-06-20,PAPER,99999.65,0.0,0.0
2026-06-21,PAPER,99999.65,0.0,0.0
2026-06-22,PAPER,99999.65,0.0,0.0
2026-06-23,PAPER,99152.89,0.0,-0.00847
2026-06-24,PAPER,98294.39,0.0,-0.01705
2026-06-25,PAPER,98592.49,0.0,-0.01407
2026-06-26,PAPER,98374.59,0.0,-0.01625
2026-06-27,PAPER,98144.19,0.0,-0.01855
